UF,Classe,month,seasonal_factor,var
MA,comercial,6,0.9958511534366136,57884496.08000002
MA,comercial,7,1.0122849598778771,51148520.82000001
MA,comercial,8,1.030804986680257,32491472.719999976
MA,comercial,9,1.061973820125876,56010528.0
MA,comercial,10,1.096986383102375,51571152.40500009
MA,comercial,11,1.0666967425232263,55316265.61999997
MA,comercial,12,1.0502804673455015,48155335.22000003
MA,industrial,1,0.967458958684076,186043900050.0
MA,industrial,2,0.9149604192832532,166954733400.5
MA,industrial,3,1.0074477516695572,204435170621.04495
MA,industrial,4,1.0150605832190658,207409540080.125
MA,industrial,5,1.0648736633845108,228273825812.805
MA,industrial,6,0.9898161032074868,197205251022.605
MA,industrial,7,1.0139356473145846,206990337308.445
MA,industrial,8,1.0155149961034746,207722995800.50003
MA,industrial,9,0.9879202418403022,195940504008.0
MA,industrial,10,1.024740694940251,211457661008.18
MA,industrial,11,1.004335122895485,203269812970.58
MA,industrial,12,0.9939358174579518,198465246292.82004
MA,outros,1,0.8994335984794802,4964154476.405
MA,outros,2,0.8245662415981363,4178460811.22
MA,outros,3,0.9224071651659812,5239194248.0
MA,outros,4,0.9499749189369664,5575120334.045
MA,outros,5,0.9954378997191636,6122873130.125
MA,outros,6,1.020947127891202,6298852680.125
MA,outros,7,1.0081162071468497,6124654893.780001
MA,outros,8,1.025888641834307,6344008704.605
MA,outros,9,1.0843965528394008,7121495168.0
MA,outros,10,1.1223455204958297,7625717455.445
MA,outros,11,1.0899695701618162,7192058191.22
MA,outros,12,1.0565165557308676,6735159103.445
