,Coluna1,DataExcel,SetorIndustrial,UF,Regiao,Consumo,DataVersao
197,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,SE,Nordeste,"10653,59",23/02/2026
198,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,SP,Sudeste,"162212,854",23/02/2026
199,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,TO,Norte,"7,993",23/02/2026
200,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,AC,Norte,"0,762",23/02/2026
201,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,AL,Nordeste,"20,854",23/02/2026
202,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,AM,Norte,428,23/02/2026
203,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,AP,Norte,12,23/02/2026
204,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,BA,Nordeste,4373,23/02/2026
205,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,CE,Nordeste,"1893,368",23/02/2026
206,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,DF,Centro-Oeste,"4,225",23/02/2026
207,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,ES,Sudeste,"949,75",23/02/2026
208,20251201,2025-12-01,14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,GO,Centro-Oeste,888,23/02/2026
